28 October 2011   9:09:46.589 AM
 
POISSON_SERIAL:
  FORTRAN90 version
  A program for solving the Poisson equation.
 
  -DEL^2 U = F(X,Y)
 
  on the rectangle 0 <= X <= 1, 0 <= Y <= 1.
 
  F(X,Y) = pi^2 * ( x^2 + y^2 ) * sin ( pi * x * y )
 
  The number of interior X grid points is       11
  The number of interior Y grid points is       11
  The X grid spacing is     0.1000
  The Y grid spacing is     0.1000
  RMS of F =    4.81514    
  RMS of exact solution =   0.600498    
 
  Step    ||Unew||     ||Unew-U||     ||Unew-Exact||
   124    0.600450        0.455891E-04    0.400088E-03
   125    0.600482        0.433578E-04    0.374492E-03
   126    0.600513        0.412357E-04    0.353380E-03
   127    0.600542        0.392175E-04    0.336776E-03
   128    0.600569        0.372981E-04    0.324611E-03
   129    0.600596        0.354726E-04    0.316706E-03
   130    0.600621        0.337364E-04    0.312754E-03
   131    0.600645        0.320852E-04    0.312349E-03
   132    0.600667        0.305149E-04    0.315009E-03
   133    0.600689        0.290214E-04    0.320228E-03
   134    0.600709        0.276010E-04    0.327508E-03
   135    0.600729        0.262501E-04    0.336392E-03
   136    0.600747        0.249653E-04    0.346479E-03
   137    0.600765        0.237434E-04    0.357429E-03
   138    0.600782        0.225813E-04    0.368960E-03
   139    0.600798        0.214761E-04    0.380847E-03
   140    0.600813        0.204250E-04    0.392908E-03
   141    0.600827        0.194253E-04    0.405001E-03
   142    0.600841        0.184746E-04    0.417017E-03
   143    0.600854        0.175704E-04    0.428871E-03
   144    0.600866        0.167104E-04    0.440500E-03
   145    0.600878        0.158926E-04    0.451855E-03
   146    0.600889        0.151147E-04    0.462902E-03
   147    0.600900        0.143750E-04    0.473617E-03
   148    0.600910        0.136714E-04    0.483983E-03
   149    0.600920        0.130023E-04    0.493992E-03
   150    0.600929        0.123659E-04    0.503637E-03
   151    0.600938        0.117607E-04    0.512919E-03
   152    0.600946        0.111851E-04    0.521839E-03
   153    0.600954        0.106376E-04    0.530402E-03
   154    0.600962        0.101170E-04    0.538615E-03
   155    0.600969        0.962182E-05    0.546485E-03
   156    0.600975        0.915089E-05    0.554021E-03
   157    0.600982        0.870302E-05    0.561233E-03
   158    0.600988        0.827706E-05    0.568131E-03
   159    0.600994        0.787195E-05    0.574724E-03
   160    0.600999        0.748667E-05    0.581025E-03
   161    0.601005        0.712025E-05    0.587043E-03
   162    0.601010        0.677176E-05    0.592789E-03
   163    0.601015        0.644033E-05    0.598274E-03
   164    0.601019        0.612511E-05    0.603508E-03
   165    0.601023        0.582533E-05    0.608501E-03
   166    0.601028        0.554022E-05    0.613264E-03
   167    0.601031        0.526906E-05    0.617805E-03
   168    0.601035        0.501117E-05    0.622135E-03
   169    0.601039        0.476591E-05    0.626262E-03
   170    0.601042        0.453265E-05    0.630196E-03
   171    0.601045        0.431081E-05    0.633945E-03
   172    0.601048        0.409982E-05    0.637516E-03
   173    0.601051        0.389916E-05    0.640919E-03
   174    0.601054        0.370832E-05    0.644160E-03
   175    0.601057        0.352682E-05    0.647248E-03
   176    0.601059        0.335421E-05    0.650188E-03
   177    0.601061        0.319004E-05    0.652988E-03
   178    0.601064        0.303391E-05    0.655655E-03
   179    0.601066        0.288542E-05    0.658194E-03
   180    0.601068        0.274420E-05    0.660611E-03
   181    0.601070        0.260989E-05    0.662912E-03
   182    0.601072        0.248215E-05    0.665103E-03
   183    0.601073        0.236066E-05    0.667189E-03
   184    0.601075        0.224513E-05    0.669174E-03
   185    0.601077        0.213524E-05    0.671063E-03
   186    0.601078        0.203074E-05    0.672862E-03
   187    0.601080        0.193134E-05    0.674573E-03
   188    0.601081        0.183682E-05    0.676202E-03
   189    0.601082        0.174692E-05    0.677752E-03
   190    0.601084        0.166142E-05    0.679228E-03
   191    0.601085        0.158010E-05    0.680631E-03
   192    0.601086        0.150277E-05    0.681967E-03
   193    0.601087        0.142921E-05    0.683238E-03
   194    0.601088        0.135926E-05    0.684448E-03
   195    0.601089        0.129274E-05    0.685598E-03
   196    0.601090        0.122947E-05    0.686693E-03
   197    0.601091        0.116929E-05    0.687735E-03
   198    0.601091        0.111206E-05    0.688726E-03
   199    0.601092        0.105763E-05    0.689669E-03
   200    0.601093        0.100587E-05    0.690566E-03
   201    0.601094        0.956639E-06    0.691420E-03
  The iteration has converged,
 
POISSON_SERIAL:
  Normal end of execution.
 
28 October 2011   9:09:46.592 AM
