 4 January 2011   4:58:29.709 PM
 
CORDIC_PRB:
  FORTRAN90 version
  Test the CORDIC library.
 
TEST001:
  COSSIN_CORDIC computes the cosine and sine
  using the CORDIC algorithm.
 
          A        N      Cos(A)           Cos(A)           Difference
                          Tabulated        CORDIC
 
        0.5236    20    0.50000000        0.50000106       -0.1056E-05
        0.5236    25    0.50000000        0.49999997        0.2787E-07
 
        0.7854     0    0.70710678         0.0000000        0.7071E+00
        0.7854     5    0.70710678        0.72929659       -0.2219E-01
        0.7854    10    0.70710678        0.70618926        0.9175E-03
        0.7854    15    0.70710678        0.70709618        0.1060E-04
        0.7854    20    0.70710678        0.70710562        0.1158E-05
        0.7854    25    0.70710678        0.70710676        0.2002E-07
 
        1.0000     0    0.84147098         0.0000000        0.8415E+00
        1.0000     5    0.84147098        0.80881306        0.3266E-01
        1.0000    10    0.84147098        0.84080033        0.6707E-03
        1.0000    15    0.84147098        0.84149350       -0.2252E-04
        1.0000    20    0.84147098        0.84147186       -0.8748E-06
        1.0000    25    0.84147098        0.84147099       -0.5261E-08
 
        1.0472     0    0.86602540         0.0000000        0.8660E+00
        1.0472     5    0.86602540        0.87527459       -0.9249E-02
        1.0472    10    0.86602540        0.86664307       -0.6177E-03
        1.0472    15    0.86602540        0.86600286        0.2255E-04
        1.0472    20    0.86602540        0.86602479        0.6098E-06
        1.0472    25    0.86602540        0.86602542       -0.1609E-07
 
        1.5708     0     1.0000000         0.0000000        0.1000E+01
        1.5708     5     1.0000000        0.99988995        0.1100E-03
        1.5708    10     1.0000000        0.99999931        0.6875E-06
        1.5708    15     1.0000000         1.0000000        0.8350E-10
        1.5708    20     1.0000000         1.0000000        0.9204E-13
        1.5708    25     1.0000000         1.0000000        0.4441E-15
 
        2.0000     0    0.90929743        -0.0000000        0.9093E+00
        2.0000     5    0.90929743        0.92868117       -0.1938E-01
        2.0000    10    0.90929743        0.90947700       -0.1796E-03
        2.0000    15    0.90929743        0.90929928       -0.1858E-05
        2.0000    20    0.90929743        0.90929690        0.5236E-06
        2.0000    25    0.90929743        0.90929742        0.2669E-08
 
        3.0000     0    0.14112001        -0.0000000        0.1411E+00
        3.0000     5    0.14112001        0.13826371        0.2856E-02
        3.0000    10    0.14112001        0.14018919        0.9308E-03
        3.0000    15    0.14112001        0.14109561        0.2439E-04
        3.0000    20    0.14112001        0.14112016       -0.1544E-06
        3.0000    25    0.14112001        0.14111999        0.2265E-07
 
        3.1416     0     0.0000000        -0.0000000        0.0000E+00
        3.1416     5     0.0000000       -0.14835163E-01    0.1484E-01
        3.1416    10     0.0000000       -0.11725901E-02    0.1173E-02
        3.1416    15     0.0000000       -0.12922696E-04    0.1292E-04
        3.1416    20     0.0000000        0.42874447E-06   -0.4287E-06
        3.1416    25     0.0000000        0.11511956E-07   -0.1151E-07
 
        4.0000     0   -0.75680250        -0.0000000       -0.7568E+00
        4.0000     5   -0.75680250       -0.72929659       -0.2751E-01
        4.0000    10   -0.75680250       -0.75673078       -0.7172E-04
        4.0000    15   -0.75680250       -0.75677068       -0.3182E-04
        4.0000    20   -0.75680250       -0.75680185       -0.6500E-06
        4.0000    25   -0.75680250       -0.75680251        0.1229E-07
 
        5.0000     0   -0.95892427         0.0000000       -0.9589E+00
        5.0000     5   -0.95892427       -0.96547238        0.6548E-02
        5.0000    10   -0.95892427       -0.95855008       -0.3742E-03
        5.0000    15   -0.95892427       -0.95891449       -0.9785E-05
        5.0000    20   -0.95892427       -0.95892477        0.4958E-06
        5.0000    25   -0.95892427       -0.95892428        0.5487E-08
 
TEST003:
  ARCTAN_CORDIC computes the arctangent of Y/X
  using the CORDIC algorithm.
 
      X      Y    N       ArcTan(Y/X) ArcTan(Y/X)      Difference
                           Tabulated   CORDIC
 
        0.2184        0.0000     0     0.0000000         0.0000000        0.0000E+00
        0.2184        0.0000     5     0.0000000       -0.14835707E-01    0.1484E-01
        0.2184        0.0000    10     0.0000000       -0.11725903E-02    0.1173E-02
        0.2184        0.0000    15     0.0000000       -0.12922696E-04    0.1292E-04
        0.2184        0.0000    20     0.0000000        0.42874447E-06   -0.4287E-06
        0.2184        0.0000    25     0.0000000        0.11511956E-07   -0.1151E-07
 
        0.8295        0.2074     0    0.24497866         0.0000000        0.2450E+00
        0.8295        0.2074     5    0.24497866        0.26354570       -0.1857E-01
        0.8295        0.2074    10    0.24497866        0.24597660       -0.9979E-03
        0.8295        0.2074    15    0.24497866        0.24493901        0.3966E-04
        0.8295        0.2074    20    0.24497866        0.24497906       -0.3965E-06
        0.8295        0.2074    25    0.24497866        0.24497864        0.2076E-07
 
       -0.4153       -0.1384     0    0.32175055         0.0000000        0.3218E+00
       -0.4153       -0.1384     5    0.32175055        0.26354570        0.5820E-01
       -0.4153       -0.1384    10    0.32175055        0.32017471        0.1576E-02
       -0.4153       -0.1384    15    0.32175055        0.32170059        0.4997E-04
       -0.4153       -0.1384    20    0.32175055        0.32175208       -0.1529E-05
       -0.4153       -0.1384    25    0.32175055        0.32175059       -0.3899E-07
 
       -0.2576       -0.1288     0    0.46364761         0.0000000        0.4636E+00
       -0.2576       -0.1288     5    0.46364761        0.50479303       -0.4115E-01
       -0.2576       -0.1288    10    0.46364761        0.46378870       -0.1411E-03
       -0.2576       -0.1288    15    0.46364761        0.46360560        0.4201E-04
       -0.2576       -0.1288    20    0.46364761        0.46364947       -0.1859E-05
       -0.2576       -0.1288    25    0.46364761        0.46364762       -0.1144E-07
 
        0.0438        0.0438     0    0.78539816         0.0000000        0.7854E+00
        0.0438        0.0438     5    0.78539816        0.75350302        0.3190E-01
        0.0438        0.0438    10    0.78539816        0.78669489       -0.1297E-02
        0.0438        0.0438    15    0.78539816        0.78541315       -0.1499E-04
        0.0438        0.0438    20    0.78539816        0.78539980       -0.1638E-05
        0.0438        0.0438    25    0.78539816        0.78539819       -0.2831E-07
 
       -0.0617       -0.1235     0     1.1071487         0.0000000        0.1107E+01
       -0.0617       -0.1235     5     1.1071487         1.0660033        0.4115E-01
       -0.0617       -0.1235    10     1.1071487         1.1070076        0.1411E-03
       -0.0617       -0.1235    15     1.1071487         1.1071907       -0.4201E-04
       -0.0617       -0.1235    20     1.1071487         1.1071469        0.1859E-05
       -0.0617       -0.1235    25     1.1071487         1.1071487        0.1144E-07
 
        0.4013        1.2039     0     1.2490458         0.0000000        0.1249E+01
        0.4013        1.2039     5     1.2490458         1.1908409        0.5820E-01
        0.4013        1.2039    10     1.2490458         1.2474699        0.1576E-02
        0.4013        1.2039    15     1.2490458         1.2489958        0.4997E-04
        0.4013        1.2039    20     1.2490458         1.2490473       -0.1529E-05
        0.4013        1.2039    25     1.2490458         1.2490458       -0.3899E-07
 
       -0.7973       -3.1891     0     1.3258177         0.0000000        0.1326E+01
       -0.7973       -3.1891     5     1.3258177         1.3072506        0.1857E-01
       -0.7973       -3.1891    10     1.3258177         1.3248197        0.9979E-03
       -0.7973       -3.1891    15     1.3258177         1.3258573       -0.3966E-04
       -0.7973       -3.1891    20     1.3258177         1.3258173        0.3965E-06
       -0.7973       -3.1891    25     1.3258177         1.3258177       -0.2076E-07
 
       -0.8975       -4.4875     0     1.3734008         0.0000000        0.1373E+01
       -0.8975       -4.4875     5     1.3734008         1.4320883       -0.5869E-01
       -0.8975       -4.4875    10     1.3734008         1.3715530        0.1848E-02
       -0.8975       -4.4875    15     1.3734008         1.3734451       -0.4432E-04
       -0.8975       -4.4875    20     1.3734008         1.3734012       -0.4487E-06
       -0.8975       -4.4875    25     1.3734008         1.3734008       -0.3151E-07
 
       -0.0945       -0.9454     0     1.4711277         0.0000000        0.1471E+01
       -0.0945       -0.9454     5     1.4711277         1.4320883        0.3904E-01
       -0.0945       -0.9454    10     1.4711277         1.4691864        0.1941E-02
       -0.0945       -0.9454    15     1.4711277         1.4710785        0.4922E-04
       -0.0945       -0.9454    20     1.4711277         1.4711261        0.1537E-05
       -0.0945       -0.9454    25     1.4711277         1.4711276        0.4663E-07
 
        0.8591       17.1819     0     1.5208379         0.0000000        0.1521E+01
        0.8591       17.1819     5     1.5208379         1.5559606       -0.3512E-01
        0.8591       17.1819    10     1.5208379         1.5227688       -0.1931E-02
        0.8591       17.1819    15     1.5208379         1.5208767       -0.3873E-04
        0.8591       17.1819    20     1.5208379         1.5208366        0.1323E-05
        0.8591       17.1819    25     1.5208379         1.5208380       -0.4776E-07
 
TEST004:
  ARCCOS_CORDIC computes the arccosine of T
  using the CORDIC algorithm.
 
          T        N      ArcCos(T)       ArcCos(T)         Difference
                          Tabulated        CORDIC
 
       -0.1000     0     1.6709637         0.0000000        0.1671E+01
       -0.1000     5     1.6709637         1.6345866        0.3638E-01
       -0.1000    10     1.6709637         1.6697248        0.1239E-02
       -0.1000    15     1.6709637         1.6710676       -0.1038E-03
       -0.1000    20     1.6709637         1.6709646       -0.8240E-06
       -0.1000    25     1.6709637         1.6709637        0.1046E-07
 
        0.0000     0     1.5707963         0.0000000        0.1571E+01
        0.0000     5     1.5707963         1.6345866       -0.6379E-01
        0.0000    10     1.5707963         1.5682029        0.2593E-02
        0.0000    15     1.5707963         1.5707663        0.2998E-04
        0.0000    20     1.5707963         1.5707931        0.3275E-05
        0.0000    25     1.5707963         1.5707963        0.5662E-07
 
        0.1000     0     1.4706289         0.0000000        0.1471E+01
        0.1000     5     1.4706289         1.5070060       -0.3638E-01
        0.1000    10     1.4706289         1.4718679       -0.1239E-02
        0.1000    15     1.4706289         1.4705251        0.1038E-03
        0.1000    20     1.4706289         1.4706281        0.8240E-06
        0.1000    25     1.4706289         1.4706289       -0.1046E-07
 
        0.2000     0     1.3694384         0.0000000        0.1369E+01
        0.2000     5     1.3694384         1.2573308        0.1121E+00
        0.2000    10     1.3694384         1.3705888       -0.1150E-02
        0.2000    15     1.3694384         1.3694902       -0.5179E-04
        0.2000    20     1.3694384         1.3694406       -0.2196E-05
        0.2000    25     1.3694384         1.3694383        0.6871E-07
 
        0.3000     0     1.2661037         0.0000000        0.1266E+01
        0.3000     5     1.2661037         1.2573308        0.8773E-02
        0.3000    10     1.2661037         1.2690321       -0.2928E-02
