 3 July 2007  12:01:21.748 PM                                                   
 
NINT_EXACTNESS_TRI
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for the triangle by integrating all monomials 
  of a given degree.
 
  The rule will be adjusted to the unit triangle.
 
NINT_EXACTNESS_TRI: User input:
  Quadrature rule X file = "toms584_19_x.txt".
  Quadrature rule W file = "toms584_19_w.txt".
  Quadrature rule R file = "toms584_19_r.txt".
  Maximum total degree to check =       10
 
  Spatial dimension =        2
  Number of points  =       19
 
          Error          Degree  Exponents
 
        0.0000000000000003    0     0 0
 
        0.0000000000000002    1     1 0
        0.0000000000000000    1     0 1
 
        0.0000000000000002    2     2 0
        0.0000000000000000    2     1 1
        0.0000000000000000    2     0 2
 
        0.0000000000000002    3     3 0
        0.0000000000000002    3     2 1
        0.0000000000000000    3     1 2
        0.0000000000000001    3     0 3
 
        0.0000000000000000    4     4 0
        0.0000000000000002    4     3 1
        0.0000000000000001    4     2 2
        0.0000000000000000    4     1 3
        0.0000000000000002    4     0 4
 
        0.0000000000000004    5     5 0
        0.0000000000000003    5     4 1
        0.0000000000000002    5     3 2
        0.0000000000000002    5     2 3
        0.0000000000000003    5     1 4
        0.0000000000000002    5     0 5
 
        0.0000000000000007    6     6 0
        0.0000000000000003    6     5 1
        0.0000000000000002    6     4 2
        0.0000000000000000    6     3 3
        0.0000000000000003    6     2 4
        0.0000000000000003    6     1 5
        0.0000000000000004    6     0 6
 
        0.0000000000000011    7     7 0
        0.0000000000000007    7     6 1
        0.0000000000000003    7     5 2
        0.0000000000000002    7     4 3
        0.0000000000000002    7     3 4
        0.0000000000000003    7     2 5
        0.0000000000000007    7     1 6
        0.0000000000000011    7     0 7
 
        0.0000000000000013    8     8 0
        0.0000000000000007    8     7 1
        0.0000000000000007    8     6 2
        0.0000000000000002    8     5 3
        0.0000000000000004    8     4 4
        0.0000000000000002    8     3 5
        0.0000000000000007    8     2 6
        0.0000000000000007    8     1 7
        0.0000000000000013    8     0 8
 
        0.0000914859460730    9     9 0
        0.0004116867573217    9     8 1
        0.0007290941045679    9     7 2
        0.0006306244984918    9     6 3
        0.0001759882321377    9     5 4
        0.0001759882321375    9     4 5
        0.0006306244984920    9     3 6
        0.0007290941045679    9     2 7
        0.0004116867573217    9     1 8
        0.0000914859460732    9     0 9
 
        0.0004886058879057   10    10 0
        0.0018941137630890   10     9 1
        0.0023229104874221   10     8 2
        0.0001393828608873   10     7 3
        0.0025919540492972   10     6 4
        0.0030186431309418   10     5 5
        0.0025919540492976   10     4 6
        0.0001393828608875   10     3 7
        0.0023229104874221   10     2 8
        0.0018941137630890   10     1 9
        0.0004886058879057   10     010
 
 
NINT_EXACTNESS_TRI:
  Normal end of execution.
 
 3 July 2007  12:01:21.777 PM                                                   
