January 11 2011   8:08:31.210 AM
 
TOMS757_PRB:
  FORTRAN90 version
  Test the TOMS757 library.
 
TEST01
  Testing function ABRAM0
 
     Argument             Abs. error             Rel. error
    12.0000000000      0.69389D-17            0.26128D-15
 
TEST07
  Testing function AIRY_HI
 
     Argument             Abs. error             Rel. error
 
    -0.0019531250      0.55511D-16            0.13560D-15
    -0.1250000000      0.00000D+00            0.00000D+00
    -1.0000000000      0.55511D-16            0.25156D-15
    -4.0000000000      0.27756D-16            0.35783D-15
    -8.0000000000      0.69389D-17            0.17505D-15
    -8.2500000000      0.00000D+00            0.00000D+00
    -9.0000000000      0.69389D-17            0.19672D-15
   -10.0000000000      0.00000D+00            0.00000D+00
   -11.0000000000      0.34694D-17            0.12007D-15
   -13.0000000000      0.00000D+00            0.00000D+00
     0.0019531250      0.00000D+00            0.00000D+00
     0.1250000000      0.00000D+00            0.00000D+00
     1.0000000000      0.22204D-15            0.22839D-15
     4.0000000000      0.71054D-13            0.84827D-15
     7.0000000000      0.14552D-10            0.18116D-15
     7.2500000000      0.17462D-09            0.11256D-14
     8.0000000000      0.20955D-08            0.17468D-14
     9.0000000000      0.29802D-07            0.13879D-14
    10.0000000000      0.16093D-05            0.35320D-14
    12.0000000000      0.10376D-02            0.31461D-14
 
TEST08
  Testing function ARCTAN_INT
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
    -0.0039062500      0.00000D+00            0.00000D+00
     0.0078125000      0.00000D+00            0.00000D+00
     0.0156250000      0.00000D+00            0.00000D+00
    -0.0312500000      0.00000D+00            0.00000D+00
     0.0625000000      0.69389D-17            0.11107D-15
     0.1250000000      0.00000D+00            0.00000D+00
    -0.2500000000      0.00000D+00            0.00000D+00
     0.5000000000      0.00000D+00            0.00000D+00
     1.0000000000      0.00000D+00            0.00000D+00
     1.5000000000      0.22204D-15            0.17416D-15
    -2.0000000000      0.22204D-15            0.14089D-15
     4.0000000000      0.44409D-15            0.18306D-15
     8.0000000000      0.88818D-15            0.26191D-15
    16.0000000000      0.88818D-15            0.20105D-15
   -20.0000000000      0.00000D+00            0.00000D+00
    25.0000000000      0.88818D-15            0.17428D-15
    30.0000000000      0.00000D+00            0.00000D+00
   -50.0000000000      0.88818D-15            0.14407D-15
   100.0000000000      0.88818D-15            0.12261D-15
 
TEST09
  Testing function BESSEL_I0_INT
 
     Argument             Abs. error             Rel. error
 
     0.0019531250      0.00000D+00            0.00000D+00
    -0.0039062500      0.86736D-18            0.22204D-15
     0.0625000000      0.00000D+00            0.00000D+00
     0.1250000000      0.00000D+00            0.00000D+00
    -0.5000000000      0.00000D+00            0.00000D+00
     1.0000000000      0.00000D+00            0.00000D+00
     2.0000000000      0.44409D-15            0.16003D-15
    -4.0000000000      0.53291D-14            0.38686D-15
     8.0000000000      0.34106D-12            0.73466D-15
    18.0000000000      0.45635D-07            0.71180D-14
   -18.5000000000      0.14901D-07            0.14308D-14
    20.0000000000      0.37253D-07            0.83231D-15
   -21.0000000000      0.14901D-06            0.12572D-14
    22.0000000000      0.59605D-07            0.18964D-15
   -23.0000000000      0.95367D-06            0.11429D-14
    24.0000000000      0.10014D-04            0.45156D-14
    25.0000000000      0.47684D-05            0.80831D-15
   -27.0000000000      0.91553D-04            0.21873D-14
    30.0000000000      0.17090D-02            0.21482D-14
    40.0000000000      0.54000D+02            0.35786D-14
 
TEST10
  Testing function BESSEL_J0_INT
 
     Argument             Abs. error             Rel. error
 
     0.0009765625      0.00000D+00            0.00000D+00
     0.0039062500      0.00000D+00            0.00000D+00
    -0.0625000000      0.13878D-16            0.22212D-15
     0.1250000000      0.13878D-16            0.11117D-15
    -0.5000000000      0.55511D-16            0.11336D-15
     1.0000000000      0.00000D+00            0.00000D+00
    -2.0000000000      0.00000D+00            0.00000D+00
     4.0000000000      0.00000D+00            0.00000D+00
    -8.0000000000      0.22204D-15            0.18339D-15
