 
FEM2D_LEASTSQUARES
  FORTRAN90 version
 
  Seek U(x,y), the solution of the least squares equation:
 
  Minimize L2 norm of U(x,y) - W(x,y), for W(x,y) given,
  with U(x,y) a piecewise linear function in the interior,
  and matching W(x,y) on the boundary.
 
  Reformulate this in terms of a finite element problem:
 
  ( U(x,y) - W(x,y), V(x,y) ) = 0 inside the region,
    U(x,y)                    = W(x,y) on the boundary
 
  The region is a rectangle, defined by:
 
   0.00000     = XL<= X <= XR =    1.00000    
   0.00000     = YB<= Y <= YT =    1.00000    
 
  The finite element method is used, with piecewise
  linear basis functions on 3 node triangular
  elements.
 
  The corner nodes of the triangles are generated by an
  underlying grid whose dimensions are
 
  NX =                             17
  NY =                             17
  Number of nodes =               289
  Number of elements =            512
 
     K     I     J          X           Y        U(x,y)           W(x,y)
    49    15     3        0.88        0.13     1.02009         1.02145    
    50    16     3        0.94        0.13     1.00895         1.01216    
    51    17     3        1.00        0.13     1.00000         1.00000    
 
    52     1     4        0.00        0.19     0.00000         0.00000    
    53     2     4        0.06        0.19    0.174951        0.170886    
    54     3     4        0.13        0.19    0.341332        0.337608    
    55     4     4        0.19        0.19    0.500453        0.496158    
    56     5     4        0.25        0.19    0.647291        0.642847    
    57     6     4        0.31        0.19    0.778923        0.774440    
    58     7     4        0.38        0.19    0.892616        0.888280    
    59     8     4        0.44        0.19    0.986420        0.982395    
    60     9     4        0.50        0.19     1.05913         1.05557    
    61    10     4        0.56        0.19     1.11035         1.10740    
    62    11     4        0.63        0.19     1.14052         1.13828    
    63    12     4        0.69        0.19     1.15087         1.14944    
    64    13     4        0.75        0.19     1.14344         1.14285    
    65    14     4        0.81        0.19     1.12079         1.12116    
    66    15     4        0.88        0.19     1.08667         1.08761    
    67    16     4        0.94        0.19     1.04319         1.04589    
    68    17     4        1.00        0.19     1.00000         1.00000    
 
    69     1     5        0.00        0.25     0.00000         0.00000    
    70     2     5        0.06        0.25    0.204103        0.200450    
    71     3     5        0.13        0.25    0.399307        0.395598    
    72     4     5        0.19        0.25    0.584791        0.580347    
    73     5     5        0.25        0.25    0.754818        0.750000    
    74     6     5        0.31        0.25    0.905487        0.900438    
    75     7     5        0.38        0.25     1.03336         1.02828    
    76     8     5        0.44        0.25     1.13593         1.13102    
    77     9     5        0.50        0.25     1.21167         1.20711    
    78    10     5        0.56        0.25     1.26005         1.25602    
    79    11     5        0.63        0.25     1.28163         1.27828    
    80    12     5        0.69        0.25     1.27797         1.27544    
    81    13     5        0.75        0.25     1.25164         1.25000    
    82    14     5        0.81        0.25     1.20594         1.20535    
    83    15     5        0.88        0.25     1.14543         1.14560    
    84    16     5        0.94        0.25     1.07344         1.07545    
    85    17     5        1.00        0.25     1.00000         1.00000    
 
    86     1     6        0.00        0.31     0.00000         0.00000    
    87     2     6        0.06        0.31    0.227924        0.224712    
    88     3     6        0.13        0.31    0.446806        0.443190    
    89     4     6        0.19        0.31    0.653923        0.649440    
    90     5     6        0.25        0.31    0.842987        0.837938    
    91     6     6        0.31        0.31     1.00929         1.00384    
    92     7     6        0.38        0.31     1.14881         1.14318    
    93     8     6        0.44        0.31     1.25859         1.25299    
    94     9     6        0.50        0.31     1.33682         1.33147    
    95    10     6        0.56        0.31     1.38289         1.37799    
    96    11     6        0.63        0.31     1.39744         1.39318    
    97    12     6        0.69        0.31     1.38229         1.37884    
    98    13     6        0.75        0.31     1.34047         1.33794    
    99    14     6        0.81        0.31     1.27587         1.27444    
   100    15     6        0.88        0.31     1.19375         1.19319    
   101    16     6        0.94        0.31     1.09845         1.09971    
   102    17     6        1.00        0.31     1.00000         1.00000    
 
   103     1     7        0.00        0.38     0.00000         0.00000    
   104     2     7        0.06        0.38    0.245360        0.242740    
   105     3     7        0.13        0.38    0.481923        0.478553    
   106     4     7        0.19        0.38    0.705116        0.700780    
   107     5     7        0.25        0.38    0.908359        0.903281    
   108     6     7        0.31        0.38     1.08631         1.08068    
   109     7     7        0.38        0.38     1.23452         1.22855    
   110     8     7        0.44        0.38     1.34970         1.34363    
   111     9     7        0.50        0.38     1.42983         1.42388    
   112    10     7        0.56        0.38     1.47422         1.46863    
   113    11     7        0.63        0.38     1.48358         1.47855    
   114    12     7        0.69        0.38     1.45994         1.45568    
   115    13     7        0.75        0.38     1.40663         1.40328    
   116    14     7        0.81        0.38     1.32802         1.32578    
   117    15     7        0.88        0.38     1.22982         1.22855    
   118    16     7        0.94        0.38     1.11728         1.11774    
   119    17     7        1.00        0.38     1.00000         1.00000    
 
   120     1     8        0.00        0.44     0.00000         0.00000    
   121     2     8        0.06        0.44    0.255775        0.253842    
   122     3     8        0.13        0.44    0.503328        0.500330    
   123     4     8        0.19        0.44    0.736420        0.732395    
   124     5     8        0.25        0.44    0.948433        0.943520    
   125     6     8        0.31        0.44     1.13359         1.12799    
   126     7     8        0.38        0.44     1.28720         1.28113    
   127     8     8        0.44        0.44     1.40576         1.39944    
