       222       223       227
       222       227       246
       222       243       246
       223       224       228
       223       227       228
       225       226       229
       226       229       230
       226       230       244
       227       228       233
       227       232       233
       227       232       246
       228       233       234
       229       230       235
       230       231       236
       230       231       244
       230       235       236
       231       236       247
       231       244       245
       231       245       247
       232       233       238
       232       238       247
       232       245       246
       232       245       247
       233       234       239
       233       238       239
       235       236       240
       236       237       241
       236       237       247
       236       240       241
       237       238       242
       237       238       247
       238       239       242
       243       245       246
