 4 July 2007   7:52:08.379 AM                                                   
 
NINT_EXACTNESS_TET
  FORTRAN90 version
 
  Investigate the polynomial exactness of a quadrature
  rule for a tetrahedron by integrating all monomials 
  of a given degree.
 
  The rule will be adjusted to the unit tetrahedron.
 
NINT_EXACTNESS_TET: User input:
  Quadrature rule X file = "keast9_x.txt".
  Quadrature rule W file = "keast9_w.txt".
  Quadrature rule R file = "keast9_r.txt".
  Maximum total degree to check =        9
 
  Spatial dimension =        3
  Number of points  =       45
 
          Error          Degree  Exponents
 
        0.0000000000000009    0     0 0 0
 
        0.0000000000000009    1     1 0 0
        0.0000000000000009    1     0 1 0
        0.0000000000000009    1     0 0 1
 
        0.0000000000000004    2     2 0 0
        0.0000000000000007    2     1 1 0
        0.0000000000000004    2     0 2 0
        0.0000000000000007    2     1 0 1
        0.0000000000000007    2     0 1 1
        0.0000000000000004    2     0 0 2
 
        0.0000000000000002    3     3 0 0
        0.0000000000000008    3     2 1 0
        0.0000000000000009    3     1 2 0
        0.0000000000000002    3     0 3 0
        0.0000000000000008    3     2 0 1
        0.0000000000000004    3     1 1 1
        0.0000000000000008    3     0 2 1
        0.0000000000000009    3     1 0 2
        0.0000000000000008    3     0 1 2
        0.0000000000000002    3     0 0 3
 
        0.0000000000000007    4     4 0 0
        0.0000000000000003    4     3 1 0
        0.0000000000000002    4     2 2 0
        0.0000000000000003    4     1 3 0
        0.0000000000000007    4     0 4 0
        0.0000000000000003    4     3 0 1
        0.0000000000000008    4     2 1 1
        0.0000000000000008    4     1 2 1
        0.0000000000000003    4     0 3 1
        0.0000000000000002    4     2 0 2
        0.0000000000000007    4     1 1 2
        0.0000000000000002    4     0 2 2
        0.0000000000000006    4     1 0 3
        0.0000000000000003    4     0 1 3
        0.0000000000000007    4     0 0 4
 
        0.0000000000000016    5     5 0 0
        0.0000000000000002    5     4 1 0
        0.0000000000000003    5     3 2 0
        0.0000000000000003    5     2 3 0
        0.0000000000000002    5     1 4 0
        0.0000000000000016    5     0 5 0
        0.0000000000000002    5     4 0 1
        0.0000000000000006    5     3 1 1
        0.0000000000000011    5     2 2 1
        0.0000000000000006    5     1 3 1
        0.0000000000000002    5     0 4 1
        0.0000000000000002    5     3 0 2
        0.0000000000000011    5     2 1 2
        0.0000000000000011    5     1 2 2
        0.0000000000000003    5     0 3 2
        0.0000000000000003    5     2 0 3
        0.0000000000000003    5     1 1 3
        0.0000000000000003    5     0 2 3
        0.0000000000000002    5     1 0 4
        0.0000000000000002    5     0 1 4
        0.0000000000000016    5     0 0 5
 
        0.0000000000000022    6     6 0 0
        0.0000000000000000    6     5 1 0
        0.0000000000000000    6     4 2 0
        0.0000000000000002    6     3 3 0
        0.0000000000000000    6     2 4 0
        0.0000000000000000    6     1 5 0
        0.0000000000000022    6     0 6 0
        0.0000000000000000    6     5 0 1
        0.0000000000000000    6     4 1 1
        0.0000000000000002    6     3 2 1
        0.0000000000000002    6     2 3 1
        0.0000000000000000    6     1 4 1
        0.0000000000000000    6     0 5 1
        0.0000000000000000    6     4 0 2
        0.0000000000000002    6     3 1 2
        0.0000000000000007    6     2 2 2
        0.0000000000000002    6     1 3 2
        0.0000000000000000    6     0 4 2
        0.0000000000000000    6     3 0 3
        0.0000000000000004    6     2 1 3
        0.0000000000000004    6     1 2 3
        0.0000000000000000    6     0 3 3
        0.0000000000000000    6     2 0 4
        0.0000000000000000    6     1 1 4
        0.0000000000000000    6     0 2 4
        0.0000000000000003    6     1 0 5
        0.0000000000000002    6     0 1 5
        0.0000000000000024    6     0 0 6
 
        0.0000000000000029    7     7 0 0
        0.0000000000000002    7     6 1 0
        0.0000000000000000    7     5 2 0
        0.0000000000000000    7     4 3 0
        0.0000000000000000    7     3 4 0
        0.0000000000000000    7     2 5 0
        0.0000000000000002    7     1 6 0
        0.0000000000000029    7     0 7 0
        0.0000000000000001    7     6 0 1
        0.0000000000000007    7     5 1 1
        0.0000000000000002    7     4 2 1
        0.0000000000000007    7     3 3 1
        0.0000000000000002    7     2 4 1
        0.0000000000000007    7     1 5 1
        0.0000000000000001    7     0 6 1
        0.0000000000000000    7     5 0 2
        0.0000000000000002    7     4 1 2
        0.0000000000000006    7     3 2 2
        0.0000000000000002    7     2 3 2
        0.0000000000000006    7     1 4 2
        0.0000000000000000    7     0 5 2
        0.0000000000000000    7     4 0 3
        0.0000000000000006    7     3 1 3
        0.0000000000000002    7     2 2 3
        0.0000000000000006    7     1 3 3
        0.0000000000000002    7     0 4 3
        0.0000000000000000    7     3 0 4
        0.0000000000000006    7     2 1 4
        0.0000000000000006    7     1 2 4
        0.0000000000000000    7     0 3 4
        0.0000000000000000    7     2 0 5
        0.0000000000000004    7     1 1 5
        0.0000000000000000    7     0 2 5
        0.0000000000000001    7     1 0 6
        0.0000000000000001    7     0 1 6
        0.0000000000000031    7     0 0 7
 
        0.0000000000000049    8     8 0 0
        0.0000000000000000    8     7 1 0
        0.0000000000000006    8     6 2 0
        0.0000000000000004    8     5 3 0
        0.0000000000000002    8     4 4 0
        0.0000000000000002    8     3 5 0
        0.0000000000000002    8     2 6 0
        0.0000000000000002    8     1 7 0
        0.0000000000000049    8     0 8 0
        0.0000000000000002    8     7 0 1
        0.0000000000000000    8     6 1 1
        0.0000000000000006    8     5 2 1
        0.0000000000000006    8     4 3 1
        0.0000000000000008    8     3 4 1
        0.0000000000000004    8     2 5 1
        0.0000000000000002    8     1 6 1
        0.0000000000000000    8     0 7 1
        0.0000000000000003    8     6 0 2
        0.0000000000000009    8     5 1 2
        0.0000000000000007    8     4 2 2
        0.0000000000000012    8     3 3 2
        0.0000000000000006    8     2 4 2
