30 May 2012   8:18:03.749 PM
 
FEYNMAN_KAC_2D:
  FORTRAN90 version.
 
  Program parameters:
 
  The calculation takes place inside a 2D ellipse.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipse.
 
  Each solution will be estimated by computing    10000 trajectories
  from the point to the boundary.
 
    (X/A)^2 + (Y/B)^2 = 1
 
  The ellipse parameters A and B are:
 
    A =    2.00000    
    B =    1.00000    
  Stepsize H =   0.100000E-03
 
  X coordinate marked by   21 points
  Y coordinate marked by   11 points
 
     X            Y             W Approx      W Exact          Error      Ave Steps
   -0.4000        0.2000        0.3939        0.3985        0.4639E-02      7526
   -0.4000        0.3000        0.4154        0.4190        0.3504E-02      7000
   -0.4000        0.4000        0.4463        0.4493        0.3046E-02      6469
   -0.4000        0.5000        0.4881        0.4916        0.3574E-02      5758
   -0.4000        0.6000        0.5404        0.5488        0.8405E-02      4924
   -0.4000        0.7000        0.6219        0.6250        0.3069E-02      3758
   -0.4000        0.8000        0.7177        0.7261        0.8497E-02      2662
   -0.4000        0.9000        0.8492        0.8607        0.1154E-01      1305
   -0.4000         1.000         1.000         1.000         0.000             0
     0.000        -1.000        0.9929         1.000        0.7138E-02        53
     0.000       -0.9000        0.8141        0.8270        0.1289E-01      1604
     0.000       -0.8000        0.6839        0.6977        0.1373E-01      3004
     0.000       -0.7000        0.5933        0.6005        0.7212E-02      4129
     0.000       -0.6000        0.5171        0.5273        0.1014E-01      5274
     0.000       -0.5000        0.4699        0.4724        0.2426E-02      6037
     0.000       -0.4000        0.4231        0.4317        0.8576E-02      6892
     0.000       -0.3000        0.3991        0.4025        0.3473E-02      7292
     0.000       -0.2000        0.3784        0.3829        0.4519E-02      7782
     0.000       -0.1000        0.3653        0.3716        0.6249E-02      7989
     0.000         0.000        0.3645        0.3679        0.3415E-02      8101
     0.000        0.1000        0.3672        0.3716        0.4392E-02      7970
     0.000        0.2000        0.3825        0.3829        0.4067E-03      7644
     0.000        0.3000        0.3958        0.4025        0.6729E-02      7350
     0.000        0.4000        0.4251        0.4317        0.6644E-02      6821
     0.000        0.5000        0.4663        0.4724        0.6097E-02      6123
     0.000        0.6000        0.5176        0.5273        0.9740E-02      5299
     0.000        0.7000        0.5920        0.6005        0.8508E-02      4095
     0.000        0.8000        0.6873        0.6977        0.1040E-01      2964
     0.000        0.9000        0.8127        0.8270        0.1422E-01      1683
     0.000         1.000        0.9929         1.000        0.7132E-02        51
    0.4000        -1.000         1.000         1.000         0.000             0
    0.4000       -0.9000        0.8515        0.8607        0.9181E-02      1270
    0.4000       -0.8000        0.7206        0.7261        0.5557E-02      2602
    0.4000       -0.7000        0.6205        0.6250        0.4522E-02      3819
    0.4000       -0.6000        0.5398        0.5488        0.8981E-02      4927
    0.4000       -0.5000        0.4862        0.4916        0.5421E-02      5738
    0.4000       -0.4000        0.4484        0.4493        0.9179E-03      6394
    0.4000       -0.3000        0.4152        0.4190        0.3704E-02      7024
    0.4000       -0.2000        0.3948        0.3985        0.3746E-02      7385
    0.4000       -0.1000        0.3815        0.3867        0.5203E-02      7687
    0.4000         0.000        0.3800        0.3829        0.2852E-02      7731
    0.4000        0.1000        0.3806        0.3867        0.6140E-02      7734
    0.4000        0.2000        0.3943        0.3985        0.4171E-02      7399
    0.4000        0.3000        0.4172        0.4190        0.1755E-02      6978
    0.4000        0.4000        0.4434        0.4493        0.5954E-02      6523
    0.4000        0.5000        0.4841        0.4916        0.7586E-02      5810
    0.4000        0.6000        0.5402        0.5488        0.8624E-02      4940
    0.4000        0.7000        0.6176        0.6250        0.7406E-02      3875
    0.4000        0.8000        0.7187        0.7261        0.7445E-02      2633
    0.4000        0.9000        0.8484        0.8607        0.1232E-01      1313
    0.4000         1.000         1.000         1.000         0.000             0
    0.8000        -1.000         1.000         1.000         0.000             0
    0.8000       -0.9000        0.9595        0.9704        0.1090E-01       325
    0.8000       -0.8000        0.8084        0.8187        0.1034E-01      1682
    0.8000       -0.7000        0.6974        0.7047        0.7258E-02      2847
    0.8000       -0.6000        0.6151        0.6188        0.3704E-02      3867
    0.8000       -0.5000        0.5480        0.5543        0.6330E-02      4848
    0.8000       -0.4000        0.5007        0.5066        0.5883E-02      5550
    0.8000       -0.3000        0.4647        0.4724        0.7685E-02      6133
    0.8000       -0.2000        0.4447        0.4493        0.4642E-02      6499
    0.8000       -0.1000        0.4341        0.4360        0.1940E-02      6646
    0.8000         0.000        0.4320        0.4317        0.3268E-03      6712
    0.8000        0.1000        0.4337        0.4360        0.2303E-02      6684
    0.8000        0.2000        0.4435        0.4493        0.5856E-02      6533
    0.8000        0.3000        0.4699        0.4724        0.2491E-02      6047
    0.8000        0.4000        0.5020        0.5066        0.4660E-02      5497
    0.8000        0.5000        0.5519        0.5543        0.2394E-02      4748
    0.8000        0.6000        0.6123        0.6188        0.6439E-02      3896
    0.8000        0.7000        0.6957        0.7047        0.8979E-02      2922
    0.8000        0.8000        0.8071        0.8187        0.1160E-01      1724
    0.8000        0.9000        0.9632        0.9704        0.7280E-02       301
    0.8000         1.000         1.000         1.000         0.000             0
     1.200        -1.000         1.000         1.000         0.000             0
     1.200       -0.9000         1.000         1.000         0.000             0
     1.200       -0.8000        0.9891         1.000        0.1093E-01        91
     1.200       -0.7000        0.8507        0.8607        0.1003E-01      1293
     1.200       -0.6000        0.7452        0.7558        0.1062E-01      2357
     1.200       -0.5000        0.6683        0.6771        0.8718E-02      3196
     1.200       -0.4000        0.6163        0.6188        0.2477E-02      3861
     1.200       -0.3000        0.5676        0.5769        0.9336E-02      4563
     1.200       -0.2000        0.5453        0.5488        0.3532E-02      4853
     1.200       -0.1000        0.5282        0.5326        0.4345E-02      5095
     1.200         0.000        0.5238        0.5273        0.3514E-02      5129
     1.200        0.1000        0.5278        0.5326        0.4764E-02      5127
     1.200        0.2000        0.5473        0.5488        0.1503E-02      4819
     1.200        0.3000        0.5739        0.5769        0.3073E-02      4441
     1.200        0.4000        0.6113        0.6188        0.7530E-02      3966
     1.200        0.5000        0.6723        0.6771        0.4755E-02      3187
     1.200        0.6000        0.7492        0.7558        0.6547E-02      2323
     1.200        0.7000        0.8523        0.8607        0.8422E-02      1268
     1.200        0.8000        0.9892         1.000        0.1076E-01        86
     1.200        0.9000         1.000         1.000         0.000             0
     1.200         1.000         1.000         1.000         0.000             0
     1.600        -1.000         1.000         1.000         0.000             0
     1.600       -0.9000         1.000         1.000         0.000             0
     1.600       -0.8000         1.000         1.000         0.000             0
     1.600       -0.7000         1.000         1.000         0.000             0
     1.600       -0.6000        0.9915         1.000        0.8473E-02        69
     1.600       -0.5000        0.8881        0.8958        0.7746E-02       951
     1.600       -0.4000        0.8146        0.8187        0.4102E-02      1643
     1.600       -0.3000        0.7611        0.7634        0.2326E-02      2167
     1.600       -0.2000        0.7214        0.7261        0.4731E-02      2589
     1.600       -0.1000        0.7012        0.7047        0.3464E-02      2822
     1.600         0.000        0.6923        0.6977        0.5370E-02      2921
     1.600        0.1000        0.7001        0.7047        0.4632E-02      2857
     1.600        0.2000        0.7203        0.7261        0.5812E-02      2606
     1.600        0.3000        0.7594        0.7634        0.4027E-02      2221
     1.600        0.4000        0.8108        0.8187        0.7928E-02      1714
     1.600        0.5000        0.8880        0.8958        0.7867E-02       956
     1.600        0.6000        0.9921         1.000        0.7887E-02        64
     1.600        0.7000         1.000         1.000         0.000             0
     1.600        0.8000         1.000         1.000         0.000             0
     1.600        0.9000         1.000         1.000         0.000             0
     1.600         1.000         1.000         1.000         0.000             0
     2.000        -1.000         1.000         1.000         0.000             0
     2.000       -0.9000         1.000         1.000         0.000             0
     2.000       -0.8000         1.000         1.000         0.000             0
     2.000       -0.7000         1.000         1.000         0.000             0
     2.000       -0.6000         1.000         1.000         0.000             0
     2.000       -0.5000         1.000         1.000         0.000             0
     2.000       -0.4000         1.000         1.000         0.000             0
     2.000       -0.3000         1.000         1.000         0.000             0
     2.000       -0.2000         1.000         1.000         0.000             0
     2.000       -0.1000         1.000         1.000         0.000             0
     2.000         0.000        0.9963         1.000        0.3706E-02        26
     2.000        0.1000         1.000         1.000         0.000             0
     2.000        0.2000         1.000         1.000         0.000             0
     2.000        0.3000         1.000         1.000         0.000             0
     2.000        0.4000         1.000         1.000         0.000             0
     2.000        0.5000         1.000         1.000         0.000             0
     2.000        0.6000         1.000         1.000         0.000             0
     2.000        0.7000         1.000         1.000         0.000             0
     2.000        0.8000         1.000         1.000         0.000             0
     2.000        0.9000         1.000         1.000         0.000             0
     2.000         1.000         1.000         1.000         0.000             0
 
  RMS absolute error in solution =   0.668498E-02
 
FEYNMAN_KAC_2D:
  Normal end of execution.
 
30 May 2012   8:28:08.575 PM
