31 May 2012   3:22:19.255 PM
 
FEYNMAN_KAC_3D:
  FORTRAN90 version.
 
  Program parameters:
 
  The calculation takes place inside a 3D ellipsoid.
  A rectangular grid of points will be defined.
  The solution will be estimated for those grid points
  that lie inside the ellipsoid.
 
  Each solution will be estimated by computing    10000 trajectories
  from the point to the boundary.
 
    (X/A)^2 + (Y/B)^2 + (Z/C)^2 = 1
 
  The ellipsoid parameters A, B, C are set to:
 
    A =    3.00000    
    B =    2.00000    
    C =    1.00000    
  Stepsize H =   0.100000E-02
 
  X coordinate marked by   31 points
  Y coordinate marked by   21 points
  Z coordinate marked by   11 points
 
     X            Y             Z          W Approx      W Exact          Error      Ave Steps
    -2.800        -1.000         1.000         1.000         1.000         0.000             0
    -2.800       -0.8000        -1.000         1.000         1.000         0.000             0
    -2.800       -0.8000       -0.8000         1.000         1.000         0.000             0
    -2.800       -0.8000       -0.6000         1.000         1.000         0.000             0
    -2.800       -0.8000       -0.4000         1.000         1.000         0.000             0
    -2.800       -0.8000       -0.2000         1.000         1.000         0.000             0
    -2.800       -0.8000         0.000         1.000         1.000         0.000             0
    -2.800       -0.8000        0.2000         1.000         1.000         0.000             0
    -2.800       -0.8000        0.4000         1.000         1.000         0.000             0
    -2.800       -0.8000        0.6000         1.000         1.000         0.000             0
    -2.800       -0.8000        0.8000         1.000         1.000         0.000             0
    -2.800       -0.8000         1.000         1.000         1.000         0.000             0
    -2.800       -0.6000        -1.000         1.000         1.000         0.000             0
    -2.800       -0.6000       -0.8000         1.000         1.000         0.000             0
    -2.800       -0.6000       -0.6000         1.000         1.000         0.000             0
    -2.800       -0.6000       -0.4000         1.000         1.000         0.000             0
    -2.800       -0.6000       -0.2000         1.000         1.000         0.000             0
    -2.800       -0.6000         0.000        0.9454        0.9619        0.1642E-01        41
    -2.800       -0.6000        0.2000         1.000         1.000         0.000             0
    -2.800       -0.6000        0.4000         1.000         1.000         0.000             0
    -2.800       -0.6000        0.6000         1.000         1.000         0.000             0
    -2.800       -0.6000        0.8000         1.000         1.000         0.000             0
    -2.800       -0.6000         1.000         1.000         1.000         0.000             0
    -2.800       -0.4000        -1.000         1.000         1.000         0.000             0
    -2.800       -0.4000       -0.8000         1.000         1.000         0.000             0
    -2.800       -0.4000       -0.6000         1.000         1.000         0.000             0
    -2.800       -0.4000       -0.4000         1.000         1.000         0.000             0
    -2.800       -0.4000       -0.2000        0.9357        0.9523        0.1658E-01        49
    -2.800       -0.4000         0.000        0.8995        0.9149        0.1543E-01        77
    -2.800       -0.4000        0.2000        0.9371        0.9523        0.1523E-01        48
    -2.800       -0.4000        0.4000         1.000         1.000         0.000             0
    -2.800       -0.4000        0.6000         1.000         1.000         0.000             0
    -2.800       -0.4000        0.8000         1.000         1.000         0.000             0
    -2.800       -0.4000         1.000         1.000         1.000         0.000             0
    -2.800       -0.2000        -1.000         1.000         1.000         0.000             0
    -2.800       -0.2000       -0.8000         1.000         1.000         0.000             0
    -2.800       -0.2000       -0.6000         1.000         1.000         0.000             0
    -2.800       -0.2000       -0.4000         1.000         1.000         0.000             0
    -2.800       -0.2000       -0.2000        0.9112        0.9241        0.1298E-01        67
    -2.800       -0.2000         0.000        0.8717        0.8879        0.1622E-01       100
    -2.800       -0.2000        0.2000        0.9075        0.9241        0.1665E-01        72
    -2.800       -0.2000        0.4000         1.000         1.000         0.000             0
    -2.800       -0.2000        0.6000         1.000         1.000         0.000             0
    -2.800       -0.2000        0.8000         1.000         1.000         0.000             0
    -2.800       -0.2000         1.000         1.000         1.000         0.000             0
    -2.800         0.000        -1.000         1.000         1.000         0.000             0
    -2.800         0.000       -0.8000         1.000         1.000         0.000             0
    -2.800         0.000       -0.6000         1.000         1.000         0.000             0
    -2.800         0.000       -0.4000         1.000         1.000         0.000             0
    -2.800         0.000       -0.2000        0.8980        0.9149        0.1695E-01        79
    -2.800         0.000         0.000        0.8640        0.8791        0.1506E-01       106
    -2.800         0.000        0.2000        0.8998        0.9149        0.1514E-01        78
    -2.800         0.000        0.4000         1.000         1.000         0.000             0
    -2.800         0.000        0.6000         1.000         1.000         0.000             0
    -2.800         0.000        0.8000         1.000         1.000         0.000             0
    -2.800         0.000         1.000         1.000         1.000         0.000             0
    -2.800        0.2000        -1.000         1.000         1.000         0.000             0
    -2.800        0.2000       -0.8000         1.000         1.000         0.000             0
    -2.800        0.2000       -0.6000         1.000         1.000         0.000             0
    -2.800        0.2000       -0.4000         1.000         1.000         0.000             0
    -2.800        0.2000       -0.2000        0.9079        0.9241        0.1623E-01        71
    -2.800        0.2000         0.000        0.8701        0.8879        0.1783E-01       103
    -2.800        0.2000        0.2000        0.9084        0.9241        0.1579E-01        70
    -2.800        0.2000        0.4000         1.000         1.000         0.000             0
    -2.800        0.2000        0.6000         1.000         1.000         0.000             0
    -2.800        0.2000        0.8000         1.000         1.000         0.000             0
    -2.800        0.2000         1.000         1.000         1.000         0.000             0
    -2.800        0.4000        -1.000         1.000         1.000         0.000             0
    -2.800        0.4000       -0.8000         1.000         1.000         0.000             0
